sample,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
b9cc9fa8-a779-4737-ae96-d045be1a83c9_gdc_realn_rehead,170,1269,576,328,1,18,2,2359,52627,13654,7054,2,388,4,3.770296044951335,4.999546403287234,4.585264382664691,3.5174286739229594,-0.0,1.3036809527128552,0.6931471805599453
ba3418e3-a846-47e1-8eb4-e71f17277dad_gdc_realn_rehead,100,1451,532,284,1,11,0,765,19141,4613,2273,2,79,0,4.1194474547262665,6.212783692006953,5.536576168696775,4.863097414403273,-0.0,2.068797819133539,0
ba5834b9-26c7-4be4-bc36-c6483dfd73de_gdc_realn_rehead,89,1357,429,382,3,10,0,323,7082,2128,2497,10,29,0,4.0421473765124025,6.606662766996037,5.395791706676603,3.6721833320101527,0.9502705392332347,2.2410651407196553,0
babc500d-32ca-4140-a0b8-0b6026d7a184_gdc_realn_rehead,77,1582,762,338,2,15,1,516,15913,7834,7676,11,78,3,3.721090101938262,6.513452672106739,5.571666449359185,2.3854860132297153,0.47413931305783735,2.392407984144763,-0.0
bbaa6853-6001-4323-a536-efe506d34b9c_gdc_realn_rehead,57,767,203,377,5,4,0,269,7159,1439,32151,16,11,0,3.6642824522172837,5.065723527667783,3.992809501789973,0.8938555141323914,1.4941751382893085,1.2882523050229002,0
bc09c87b-2952-412e-a097-7e6fa6773f9f_gdc_realn_rehead,19,222,132,59,1,0,0,60,1174,761,487,2,0,0,2.813248536536147,4.82820971581113,4.203159516280589,2.6521580045326365,-0.0,0,0
bcaf7e2c-5a20-4ac8-95f4-7a4d985d6b00_gdc_realn_rehead,22,301,86,83,0,1,0,112,1840,684,2061,0,3,0,2.687271621468753,4.599900867173584,3.1671539844784617,0.9318586055892529,0,-0.0,0
bcc8e80a-c06c-4a1a-b308-9957fc3ca5d4_gdc_realn_rehead,21,386,132,92,0,2,0,89,2156,1550,5313,0,6,0,2.6656718945567297,5.310215371557714,3.443280929544521,0.6577914777119162,0,0.6931471805599453,0
bd743bbb-643e-4598-9cc1-76b335728875_gdc_realn_rehead,32,602,206,110,3,4,0,143,4682,1521,997,14,33,0,3.2253204453328266,5.516429704084066,4.363491913934455,3.5652280732923147,0.7963116401738131,1.0872282706503578,0
be086d64-2023-4de5-b300-798b05b296fc_gdc_realn_rehead,18,189,70,44,1,2,0,72,702,229,161,2,4,0,2.6501605492691787,4.855114380455406,4.016845889905557,3.428966611589609,-0.0,0.6931471805599453,0
be1802ce-9656-4628-8b4d-725cf33b9177_gdc_realn_rehead,94,1874,528,524,13,18,0,417,14144,3672,12369,41,46,0,4.090670455791015,6.67997635756152,5.413088869329134,2.0703481723842656,2.3684688591260397,2.8488997058418164,0
bf0af5cc-bc1c-4d6f-bd02-b47e61d98340_gdc_realn_rehead,1,43,18,24,2,0,0,2,124,45,549,5,0,0,-0.0,3.633498489843283,2.834417048043722,0.719105035959238,0.6730116670092565,0,0
c0994e02-1842-4736-a010-78275693e2ab_gdc_realn_rehead,76,914,237,261,7,11,2,598,13896,2223,7915,21,51,5,3.5286450162585883,5.193109048008397,4.557613364160841,1.975458524898043,1.897367567113771,2.1203437480571723,0.6730116670092565
c09dfd1e-73dd-467e-819a-f3ecb74ada72_gdc_realn_rehead,41,420,232,58,0,0,0,538,14437,5878,995,0,0,0,2.56556137848913,4.406946641061031,4.24465496024458,2.273914899430382,0,0,0
c0c2b41b-a1ab-4807-8884-031bcf0f2d78_gdc_realn_rehead,132,1456,432,319,2,6,0,1018,23096,4902,21003,6,40,0,4.222918907244173,6.158817364289582,5.112587633000103,1.1022758118973466,0.6365141682948128,1.3819635459424515,0
c0ea0338-0bfb-4efa-a782-1c8b64b497b9_gdc_realn_rehead,73,796,215,217,3,4,0,632,8972,1532,15008,107,165,0,3.6520479974525184,5.7519786208101245,4.77077812736977,1.0284567955098027,0.22021801032994476,0.3054323797349693,0
c1c5ced4-6edd-49fb-aa3e-39fb4fcb160a_gdc_realn_rehead,49,779,306,196,1,4,0,217,5675,1776,2431,2,11,0,3.5418273654035435,5.893582124970506,5.098205099726563,2.2664839597991255,-0.0,1.3421131789144003,0
c2555505-efaf-47e8-aa78-7a66231fe7d3_gdc_realn_rehead,64,0,289,157,0,0,0,1161,0,14469,10798,0,0,0,2.468078717013239,0,2.1616278603971324,1.0701920484891816,0,0,0
c292261b-d8e9-4245-936a-884d0c5f2544_gdc_realn_rehead,98,1215,459,389,1,16,1,463,14863,4335,6108,2,72,3,4.223255186746742,5.92175532969023,5.1110671237042835,2.729156196681824,-0.0,2.2901217205244913,-0.0
c3eb5df6-2a9d-4a29-b59e-f61957650342_gdc_realn_rehead,37,849,283,183,2,4,0,149,5746,1789,1279,6,8,0,3.350388349420259,6.116912299288218,4.855702858588423,4.357098418277426,0.6365141682948128,1.3862943611198906,0
c4136b84-6002-46f2-ad53-6357680c46c4_gdc_realn_rehead,4,162,44,36,3,2,0,11,515,122,120,14,4,0,1.2882523050229002,4.848918020907631,3.66914249519851,3.3534975903136197,0.7963116401738131,0.6931471805599453,0
c4ad66f0-aeaa-4403-83f2-9de01fbdf121_gdc_realn_rehead,44,524,260,113,0,2,0,1636,10278,4704,1798,0,25,0,1.9477854331950923,4.695888446527114,3.9823357249299516,2.910532417130711,0,0.439669879401343,0
c53a091b-d7e6-4dbb-9fb1-b79798e3be40_gdc_realn_rehead,294,2297,898,741,4,31,0,2061,27977,7159,5035,12,155,0,4.620791394518793,6.417343532154662,5.982259814131371,6.008314053373185,1.308605387253449,3.1306386567341566,0
c60209c8-100c-49b0-b218-b587d8c160d4_gdc_realn_rehead,28,274,138,60,1,2,0,210,2515,2562,340,2,34,0,2.8615150402672533,4.814025238651208,3.111086276532331,3.6721955523622185,-0.0,0.22371807606583377,0
c6173474-4555-47b3-8e79-08b77529d305_gdc_realn_rehead,80,812,293,152,2,11,0,900,17306,4757,2053,8,74,0,3.4821722635613543,4.780930123105142,4.226132170967575,3.195559383813804,0.5623351446188083,2.0813714648106503,0
c62f1332-cebf-46a8-a448-a5b8e9882076_gdc_realn_rehead,8,389,87,77,2,4,0,52,1574,275,253,4,10,0,1.6456339817108032,5.65575318483827,4.330347973154186,4.074702971251374,0.6931471805599453,1.3321790402101223,0
c647c365-4730-45de-8fec-2e4b4210a25a_gdc_realn_rehead,119,1728,443,418,2,10,0,672,20594,5421,6885,4,140,0,4.477922064647451,5.898244396172578,4.6557681156389465,3.1070006931136054,0.6931471805599453,1.708869748580531,0
c662eb1e-d0f9-4e36-b07a-1464ba06ff99_gdc_realn_rehead,175,2838,1437,562,18,19,1,1754,50771,22604,21131,44,123,2,4.192113922206204,6.469776870040941,5.850469009435588,1.7093128237566235,2.8467116166453983,2.358702945114004,-0.0
c6ce140f-895e-4384-8a91-d359f192b805_gdc_realn_rehead,21,271,90,41,1,3,0,194,1086,366,350,2,20,0,2.0150005728288516,5.295029251043158,4.098988382961431,2.1700219500103435,-0.0,0.8018185525433372,0
c6edc4ab-9844-45e2-8f04-e66c7280329b_gdc_realn_rehead,34,757,214,139,2,1,0,187,5230,1308,671,4,2,0,3.0934974592428808,6.00220970840855,4.798135689937586,4.530812237248615,0.6931471805599453,-0.0,0
c6fef9a2-3a47-4e2f-abf8-47a8eabaed17_gdc_realn_rehead,90,1608,616,350,4,15,0,1202,54965,10499,9820,10,65,0,2.9208524256520434,3.845702913911563,3.815486912726382,2.008536124036056,1.3321790402101223,2.492232821173783,0
c704a41c-b658-40bd-82ee-f417a8860d4a_gdc_realn_rehead,8,232,114,37,2,0,1,34,843,879,171,4,0,2,1.9795352543755511,5.119239868433092,3.188570986586666,3.048933425919527,0.6931471805599453,0,-0.0
c724c63a-bd1c-4c3a-bb6e-a45851bc1cff_gdc_realn_rehead,4,51,26,24,1,0,0,8,127,67,200,3,0,0,1.3862943611198906,3.8656804217043996,3.1724781409942873,1.5507920199817165,-0.0,0,0
c739403e-b979-448f-87d5-eaef6b7cc829_gdc_realn_rehead,32,804,277,209,5,5,1,384,8882,1644,13900,25,42,4,1.88123046598346,5.28041042355635,5.04904222350903,0.9769749147555137,1.4010689855534109,0.8741503005728994,-0.0
c79b1fee-717f-4bda-a7ce-79fa09f704e3_gdc_realn_rehead,14,372,142,79,0,3,0,66,1360,454,238,0,7,0,2.440432284640525,5.6148014727399485,4.757801388753056,4.190218713177376,0,1.0789922078775833,0
c7db9199-aa72-49b6-824a-4513d49bf40b_gdc_realn_rehead,149,1945,642,485,2,14,0,1080,31548,6457,6384,7,76,0,4.273542292850767,5.698526752298377,5.306640262102731,3.6746668309677353,0.5982695885852573,2.259081018018238,0
c8a86902-3b21-4dd8-afca-231838fafbcb_gdc_realn_rehead,82,1256,330,236,3,6,1,361,21830,3696,1568,14,33,2,4.101130871289492,5.331061296975829,4.183450921704259,4.690912886899547,1.0042424730540764,1.6504189455178717,-0.0
c9ac23a7-7132-4a77-b0b4-02421392b007_gdc_realn_rehead,47,732,252,253,4,7,1,153,4456,1367,13601,16,27,3,3.4884882629403946,5.852455780444895,4.820352644829581,0.6761299287048088,1.2130075659799042,1.6586119936924972,-0.0
ca97ca14-28e1-45d3-b1b4-3976528c87d3_gdc_realn_rehead,18,330,137,96,4,1,0,93,2148,872,895,8,2,0,2.3554232007449807,5.060024730250667,4.2053620313811955,2.338551094384955,1.3862943611198906,-0.0,0
cbabb77b-4b76-470f-9954-93cad1dcc648_gdc_realn_rehead,188,2570,854,605,10,18,0,2075,78092,21910,23090,29,200,0,4.185229784066106,5.6930723734104145,4.647652263437813,2.3353584591351333,2.1805445727386967,1.6209800941710077,0
cbde09af-ba6c-4271-ad17-cd8eba0953da_gdc_realn_rehead,7,107,29,29,2,1,0,21,504,115,110,4,2,0,1.819321571859695,4.1588283920371145,2.9730824460461904,3.0115079427089535,0.6931471805599453,-0.0,0
cbff9d45-b584-436a-8eb5-105282b7e108_gdc_realn_rehead,10,146,47,30,1,1,0,37,771,152,1794,4,2,0,2.0162060650470273,3.952621008969204,3.707367970515762,0.3843963129843301,-0.0,-0.0,0
cc3ad632-c9d1-4d39-a88e-d96e16546502_gdc_realn_rehead,36,578,294,103,2,5,0,151,3457,1626,779,8,17,0,3.3646541753547985,5.6939963076750475,5.036967326911434,3.3819809177835345,0.5623351446188083,1.5443819809168389,0
cc9f53c7-cccd-4b31-8c6e-703f38f52793_gdc_realn_rehead,218,2261,879,524,4,15,0,2303,34379,14671,8998,12,42,0,4.200589195884136,6.262693207790057,4.943177570735248,3.438306211630642,1.242453324894,2.5373853306941423,0
