sample,n_unique_pe,n_unm_both_pe,n_unm1_pe,n_unm2_pe
7441bfa1-cfbc-4032-b321-73c63e3e03f4_gdc_realn_rehead,82685323,276825,529698,1480924
74be9457-39ce-4029-9076-53b0e57d2067_gdc_realn_rehead,85413274,566011,445724,1573667
74ed9e1a-5263-4d95-8ff9-63e5dc9b91b1_gdc_realn_rehead,72909662,1096284,568631,1455846
7505607d-48c9-43ab-bce8-283ff7d6ce6c_gdc_realn_rehead,46304522,4107058,613366,1280155
7548dffa-bc4a-41f8-aa23-ad733e82706f_gdc_realn_rehead,81595047,324314,496250,1242185
755cf943-64da-48f7-9c92-ebda57d9253a_gdc_realn_rehead,54449436,275040,404526,974870
75f17276-0648-4ecd-9381-82febb3df410_gdc_realn_rehead,60799044,213291,894076,1447591
761d3c86-fe0a-4e2f-a766-bc55f5eb60ca_gdc_realn_rehead,111426215,1457433,716710,1841554
766f3ef2-d1a3-46a8-9881-966e8e2b9b02_gdc_realn_rehead,88952487,3751654,639247,1608165
76a0703a-0540-4ca8-baa8-128a52b0846d_gdc_realn_rehead,64839049,390196,586617,1226201
76a97a0e-a66b-4439-9b16-ea841f882758_gdc_realn_rehead,35182342,62225,318534,1061862
77d538f8-67ac-46df-ae0d-1b5d15aca322_gdc_realn_rehead,97793179,807337,733445,1957769
78c51f79-089a-42e5-acb7-4ba3daef41af_gdc_realn_rehead,90741513,647548,660316,1875277
792a9dd3-28b5-42f5-aa23-e64f47995f9a_gdc_realn_rehead,91860617,311915,877967,4490626
79c5c92d-4f9b-4495-b9ce-957581959297_gdc_realn_rehead,47426894,3049278,580381,1363751
7bf2426a-6731-4065-a201-8bce925a16f6_gdc_realn_rehead,37986670,458492,416321,1162977
7c655f4f-eb75-41be-9aba-69dd050a6dd9_gdc_realn_rehead,99368741,594046,529988,5153659
7e92084b-a836-48c0-8868-5704aae62707_gdc_realn_rehead,101334616,760467,972797,2531046
7f274fba-b331-4f6d-b257-66767f383ca8_gdc_realn_rehead,37420751,181481,311984,851307
7f52e834-0d94-4b6a-8c0d-3648a26c74c7_gdc_realn_rehead,87507577,1908258,513916,1367796
800ca390-3744-4ff0-a06a-24f0f003a956_gdc_realn_rehead,104599508,20809160,491786,1134875
80146f71-c080-4e91-8965-e385428ba930_gdc_realn_rehead,54200657,500811,457566,1077418
80c84645-5441-4a13-9b44-c5d6b4909d93_gdc_realn_rehead,44953367,453597,447795,825583
8119c9fe-3782-4452-b257-e508264b8fd1_gdc_realn_rehead,43500263,146738,785718,1129522
81262d4b-a7e0-41fe-a474-03773d38e05e_gdc_realn_rehead,61053401,251440,378839,1299745
815e2d8c-0ef5-4600-a6fb-d5878a67bee2_gdc_realn_rehead,58815115,835186,986350,2119563
81b1a729-4023-467f-b33c-036c59ca0942_gdc_realn_rehead,66025862,493603,674776,1689882
821336cd-4fc5-4050-8e19-92549c352dce_gdc_realn_rehead,47290939,158331,491147,1398155
8240cbf4-714b-4f3e-8b66-1d54bcf5700c_gdc_realn_rehead,75619420,216103,456435,1181988
824c3b4a-f4ef-4f2c-884b-7775b0c2c577_gdc_realn_rehead,67010332,670323,702344,2234063
829fab3d-092a-48a2-9949-fc3fd625658d_gdc_realn_rehead,48097682,132302,512420,717598
83600741-60b2-459d-b47d-38d532dfe1fc_gdc_realn_rehead,39763032,177912,469084,1063250
841873e1-5f4c-4021-945a-59dd15d96f87_gdc_realn_rehead,36799419,103631,216926,645202
8442e31c-0e0a-4106-8113-d8d648ea5139_gdc_realn_rehead,53174718,2980093,326550,901168
846a989a-1bd0-482f-b093-a34f56557a17_gdc_realn_rehead,65027282,614525,529458,2466929
84bfd434-d3c1-435c-a185-f30ad364b69e_gdc_realn_rehead,77471188,437120,638498,1807128
853f1e79-a859-434a-af7f-7aca87834957_gdc_realn_rehead,45008984,137529,323567,904422
8552374a-12c5-4454-9ced-93fe870ecf08_gdc_realn_rehead,96134993,761195,1180231,2674905
867a69db-f274-40e5-9545-6c40400031be_gdc_realn_rehead,30942454,94621,157752,490352
86b579b8-0ae6-4497-abd6-96920e08f7eb_gdc_realn_rehead,109193520,1288340,482418,1834053
8835a464-dcad-469a-8534-0e4c16db92ad_gdc_realn_rehead,82149007,765879,673397,1860011
884116a9-378a-4513-b4ce-494e8cf64636_gdc_realn_rehead,55788334,3160737,816409,1365358
8885eb17-5ec1-49c2-aa4e-01c7750f7560_gdc_realn_rehead,51649235,260414,462484,1332948
890fb8b9-b15e-4131-9b35-4b6244999caa_gdc_realn_rehead,44020434,225043,272408,575856
891f2aa5-9a6c-4179-b92f-67a934c073f0_gdc_realn_rehead,39657097,119488,293831,608753
89b85540-2c4d-4f9a-8ca1-f5f4d96485f2_gdc_realn_rehead,34449699,2434326,211955,619786
89ec7b58-b42c-45fb-a42f-52a86370d49a_gdc_realn_rehead,39136598,144492,403609,1598658
8a036b15-e79e-4e26-8700-cc6ff96ae01f_gdc_realn_rehead,80662373,1003094,475899,1187078
8a3e0f0a-4f0e-4f0f-8b3e-9fceba7b5f5f_gdc_realn_rehead,84754133,431702,990321,2936505
8aa57653-1e89-444f-82d1-288c5561fbbe_gdc_realn_rehead,49317373,274702,339019,813563
8acd9f3f-b203-4c9e-b374-326e3566b170_gdc_realn_rehead,64408655,648323,480640,2635928
8b67d447-c961-4a6f-abcb-efec920b9066_gdc_realn_rehead,36711862,126081,234605,762884
8cbf17cb-67ca-492f-82be-e749ad6a4b98_gdc_realn_rehead,41141187,641030,341638,680941
8cda7f9e-1950-431c-ad11-d9f7a106deb7_gdc_realn_rehead,80366809,3994034,541470,1245385
8dd74a0e-e86f-472c-952d-c4fab0c679fc_gdc_realn_rehead,96644258,1055721,503622,1893275
8e370fa8-00d4-4986-b905-a507517ce6d8_gdc_realn_rehead,134672517,1325651,912575,2491438
8f2741bc-e876-4acb-ab86-b90e88330644_gdc_realn_rehead,40121761,190511,429979,730285
8ffe8020-a408-4007-ab84-5883149e36c4_gdc_realn_rehead,38336550,1241702,559405,944823
90233afc-bc3f-450e-a96c-6f5b754d2749_gdc_realn_rehead,48204783,222676,483374,1513593
911906da-bdde-44bd-9a53-0c676959a8f4_gdc_realn_rehead,55417381,359645,374072,1901636
914d96ca-bf62-4023-b536-f6527f7af929_gdc_realn_rehead,77318127,1101767,494291,2556201
9156b800-c9f6-494f-a832-66907ebf5a42_gdc_realn_rehead,85492075,1432044,568684,1218813
917a6ffc-9078-487d-b0fb-99708819a6e3_gdc_realn_rehead,48140473,166700,292103,884014
9233b447-8b45-4a8b-b500-1c40459d4c38_gdc_realn_rehead,45406142,123090,295697,931655
923cf96c-4818-443e-848c-d37831c7600b_gdc_realn_rehead,94943937,570739,768947,1535013
92d91508-7894-4d4d-b51e-748c367835ec_gdc_realn_rehead,40047528,575645,425225,1329059
9308cfb3-1931-4e3e-92ff-efba26874029_gdc_realn_rehead,70307168,501449,603260,1491796
932760c0-da82-4c5e-9ded-a16d66ab901f_gdc_realn_rehead,44255754,143018,381366,1400321
93387379-19eb-49d9-8bd8-b788bc34f146_gdc_realn_rehead,50745544,1337671,334175,792206
93698f1f-65e2-49d6-bc2a-1f7b720e4a35_gdc_realn_rehead,35393960,238783,321682,929691
951e0b63-e11e-4a2c-8ca3-539e57edf021_gdc_realn_rehead,36124637,768657,274454,554135
953f2f07-f163-43c9-9762-112d07533f4e_gdc_realn_rehead,56531765,466069,312539,996784
95426575-1918-4dcb-839a-5399bf441b71_gdc_realn_rehead,82797644,780942,740946,2507152
964e7cc2-be12-46c0-9a48-9d680c3b45f2_gdc_realn_rehead,35964656,265064,369760,810139
9689e655-bfe7-4a5d-820d-e10550568e18_gdc_realn_rehead,53962316,311523,525708,2651830
96c55f10-fe83-4c4a-96ca-9884249e1c5d_gdc_realn_rehead,74954712,437571,559655,1427680
97213ae3-3d55-4d5c-9ab7-aaedb58adf91_gdc_realn_rehead,78125321,867501,619551,1661712
97ccb4e0-a0b0-4541-88f9-af010324ab7e_gdc_realn_rehead,31871021,104639,255124,807866
98114139-5bc5-44a9-b2ce-c69093a1dff1_gdc_realn_rehead,39245494,617139,342372,829617
9887451c-e87f-4fac-b552-bf9c31ad8a07_gdc_realn_rehead,94982729,561960,394064,3766690
98b20326-22f4-49f1-90b1-9fdde8d1bc51_gdc_realn_rehead,35580632,193612,231431,706034
98de92bf-93b2-4d62-b097-d96c2fcd6f97_gdc_realn_rehead,57133936,732694,403142,1101475
9ab58d05-8930-4a78-b233-1200279ffc55_gdc_realn_rehead,71343922,344119,842008,2196541
9abb3170-120c-4724-84db-664aabd17898_gdc_realn_rehead,85389432,585579,465323,1589718
9ada9975-6670-40c2-9073-05e75d45bc21_gdc_realn_rehead,88843928,1393234,719839,1865110
9b219189-feb7-42a2-81fd-c35fef0bb8db_gdc_realn_rehead,40942512,1182066,365744,671233
9b83c397-a996-4787-8341-710bb990ca45_gdc_realn_rehead,28807671,326404,296480,921758
9b96860f-7717-46b3-8ab7-2f7d9796c1d4_gdc_realn_rehead,107028975,44856364,571560,1200073
9c6a2c74-187d-42e2-bcc1-44d26364215d_gdc_realn_rehead,68075554,638837,682728,2699724
9cd22571-db06-4af5-864f-0628af4d3dbd_gdc_realn_rehead,31900834,118689,287994,676645
9d3f9112-751d-4cdd-8cd6-bbe1bb315955_gdc_realn_rehead,56313577,234449,603293,2621045
9d428beb-c46f-4adf-8be2-d6e77851c7e7_gdc_realn_rehead,99108900,1005086,571752,2028740
9d722140-b468-459b-a786-cd7646b56cbb_gdc_realn_rehead,50701278,371037,720304,3053642
9e7fd6f2-ff53-4bda-aeac-2acddcfbf37d_gdc_realn_rehead,88010767,246672,987428,2452829
9edef544-8bc3-4a4a-adba-36223de21586_gdc_realn_rehead,60259808,3202234,403512,831271
9f760775-9d20-4973-a849-a807f568e525_gdc_realn_rehead,66070686,785686,565193,1497199
9f809399-b8bf-4a21-a703-14464e6594eb_gdc_realn_rehead,44769336,121883,282289,844197
9f87923d-0659-4df8-9676-38aded7de3eb_gdc_realn_rehead,40653683,165543,350005,862807
9f899358-c9ba-47a2-a264-7915d772dc81_gdc_realn_rehead,82144140,461429,376668,1727319
a0793d91-afe3-4f62-b425-3a6f94f92ed9_gdc_realn_rehead,76320869,273175,595123,1313453
a09082f9-bad5-4f1c-a398-88baf7401bad_gdc_realn_rehead,66120504,522817,423228,1295016
a1b7941c-ce5c-4c52-99fa-be6865291240_gdc_realn_rehead,50231928,1244309,356528,950199
a39f7ad4-bfeb-45ca-bf5c-23c6ff1f0d7a_gdc_realn_rehead,36362698,229827,261047,716664
a4315a1f-9285-4dad-bad4-13c6d1f12516_gdc_realn_rehead,80591200,695029,626544,1582223
a4a5c7e9-c536-4e87-b337-eb5a003ba9fe_gdc_realn_rehead,35352872,578500,319231,923375
a4d99f39-4f7a-4cbe-ad25-7b6c25b8e6a1_gdc_realn_rehead,72254521,503160,612338,1769991
a53b56fb-04c3-402c-9236-0bdbd80da2b8_gdc_realn_rehead,54581476,238618,430922,994895
a54c5d55-6974-4261-bf32-b41ee24605d9_gdc_realn_rehead,99801991,895296,546010,1821533
a599d37f-d90f-44a3-b336-d60ebc12665d_gdc_realn_rehead,71884948,617765,676173,2615316
a5e9d1ee-2e45-4f48-b50d-11f118fc25a2_gdc_realn_rehead,42182177,247392,248690,643383
a6292387-ee50-4b41-9e8f-e77107d74a27_gdc_realn_rehead,119352608,800065,924642,2211275
a6fce128-efab-417a-813e-77c5c4ed49dc_gdc_realn_rehead,45581766,179445,269484,779301
a7849c6c-939a-403c-91d4-948dff40c78a_gdc_realn_rehead,58648097,581685,515002,2500245
a8d44728-8193-4fe6-adcc-fe792481fec7_gdc_realn_rehead,84062120,390647,641771,1599884
a9080a2d-bb8a-4632-b18e-f833384425b7_gdc_realn_rehead,70056063,376068,711317,2236995
a9fa477c-8299-41e4-aa5d-e0ae6801a201_gdc_realn_rehead,99510401,617989,811803,1499516
aa44f578-7400-4ef8-b1b0-8c369bfda870_gdc_realn_rehead,110854310,700377,899757,2931759
aaf852e9-65a1-415a-88c1-0c40e0dadf18_gdc_realn_rehead,112021765,1253070,1033358,2797985
ab0357e0-fabc-4639-afde-ce44a2ba835f_gdc_realn_rehead,126669362,1006579,1605034,4379992
ac3c9707-fb5f-472b-8c05-43ef473f2cf9_gdc_realn_rehead,118855528,727112,819037,2220897
ac4b4447-432f-4b81-9abc-dff196dd48be_gdc_realn_rehead,59138631,328294,1129543,2113937
ac545a99-b3ab-4917-836b-031903d738d3_gdc_realn_rehead,50849300,247758,435502,1066826
ac930f2b-fa81-4cde-96f2-78484b647696_gdc_realn_rehead,63759548,3405620,584605,960523
ad637a0e-cf79-4abf-b91d-4e3f578149c7_gdc_realn_rehead,48536002,802397,430996,1084207
ad779f07-1d5e-4720-be52-4d031146349f_gdc_realn_rehead,53697041,1343475,1051482,1502069
ada0db16-af3b-43ce-97e0-ffd75e7fcd66_gdc_realn_rehead,67195518,182452,663363,1576057
ada7d989-08c8-4639-8298-e0ff3788b030_gdc_realn_rehead,49877671,1280317,397534,735071
af2719bb-3eb8-4d96-add9-3f44ca91e6ae_gdc_realn_rehead,117332554,1717880,867590,1904006
af288cac-29cd-4451-8d3f-6a32fc3e6ab5_gdc_realn_rehead,55797251,263108,469999,1058578
af360a37-2759-449e-b087-853022490864_gdc_realn_rehead,63756225,588829,648173,1702026
af6c4fb2-34da-4cbb-b72f-69f4de426ced_gdc_realn_rehead,56019118,1267722,462806,1110760
af946380-8cb3-4066-a814-93dbe06182aa_gdc_realn_rehead,52241489,313786,321351,870578
b04cbefe-48d2-40ca-9230-18566adbe9ee_gdc_realn_rehead,50159345,328240,320770,775915
b068f692-cfa5-4af2-afca-25effe6d78bf_gdc_realn_rehead,105727980,365658,701874,1629145
b06d1e8a-4083-4619-8f19-14bb5250b8bf_gdc_realn_rehead,44701233,394590,349877,867935
b172cf09-d25d-4865-8acb-866770e3f0d9_gdc_realn_rehead,93006992,616148,686026,1426858
b2b94908-945e-4a92-add4-e658d5a675f9_gdc_realn_rehead,57944089,385805,496010,1046546
b2eab631-2e3e-4b65-87fc-a2592b464e45_gdc_realn_rehead,54571447,147124,328818,1299665
b377ece0-2aa1-47e9-bfe2-bdf45772e5d3_gdc_realn_rehead,74684333,290483,1287843,2634905
b4338016-9ea2-4923-9cf4-64fccafa3fc3_gdc_realn_rehead,53480216,284014,507557,1580740
b437694e-67b5-4bb6-a285-1bc78e52dfa0_gdc_realn_rehead,60870270,272600,797307,1458536
b4af3d29-7cf7-469b-aab5-a5a3756b86ab_gdc_realn_rehead,42015258,2593234,274621,742943
b4b4f1c0-619b-4be7-b12d-7a75964145a9_gdc_realn_rehead,58930870,964461,355730,1072894
b4f01540-6a25-4ef6-8903-d74d639b1a2c_gdc_realn_rehead,63542606,390155,432722,2411419
b551a3be-3e32-4ae7-823e-0f4753da8965_gdc_realn_rehead,36379362,165354,456086,904464
b6c7b112-81cb-4ae6-b604-1564eabc7aec_gdc_realn_rehead,94838855,2649257,705881,1330212
b7153e44-127c-43c2-a5ab-2f5974d16d48_gdc_realn_rehead,50000857,208627,598699,1414093
b77fa2a0-902b-4a38-9944-83d956a4969b_gdc_realn_rehead,126973881,1532464,1164255,3193609
b79a9278-cdfb-429b-8439-f78b61b2a463_gdc_realn_rehead,38639458,77398,225473,964843
b7b8be68-e8b7-44bd-90af-e4ac937c6099_gdc_realn_rehead,55791091,323911,329515,1581217
b7e85d12-23f5-4be5-aafb-c4706eae58e7_gdc_realn_rehead,88554800,812473,599314,3861733
b8904881-f41a-4e7b-9b16-7364f4392c29_gdc_realn_rehead,43110380,223849,336272,775716
b91daf0b-045f-48b9-8323-705e23db9ef8_gdc_realn_rehead,44310450,389993,394246,954022
b95bf0a9-afca-47c5-9f48-f7de055e21bc_gdc_realn_rehead,99601586,493591,646716,1506767
b9cc9fa8-a779-4737-ae96-d045be1a83c9_gdc_realn_rehead,47176461,1308379,655527,1195975
ba3418e3-a846-47e1-8eb4-e71f17277dad_gdc_realn_rehead,25312598,203128,247176,604817
ba5834b9-26c7-4be4-bc36-c6483dfd73de_gdc_realn_rehead,56644413,390313,560447,2788779
babc500d-32ca-4140-a0b8-0b6026d7a184_gdc_realn_rehead,46328868,197111,287355,531000
bc09c87b-2952-412e-a097-7e6fa6773f9f_gdc_realn_rehead,52977600,1052651,306893,945187
bcaf7e2c-5a20-4ac8-95f4-7a4d985d6b00_gdc_realn_rehead,72185449,526256,612071,2082837
bcc8e80a-c06c-4a1a-b308-9957fc3ca5d4_gdc_realn_rehead,64223223,401279,359988,1116491
bd743bbb-643e-4598-9cc1-76b335728875_gdc_realn_rehead,46810411,266384,410452,1096639
be086d64-2023-4de5-b300-798b05b296fc_gdc_realn_rehead,36482319,95197,407588,446276
be1802ce-9656-4628-8b4d-725cf33b9177_gdc_realn_rehead,108676929,1017636,757524,1669214
bf0af5cc-bc1c-4d6f-bd02-b47e61d98340_gdc_realn_rehead,38841269,657424,264138,604450
bf42e41f-19ac-40c7-abde-ee23378f4606_gdc_realn_rehead,115432912,3667784,1777329,3205859
c0994e02-1842-4736-a010-78275693e2ab_gdc_realn_rehead,100661899,686735,922341,1837285
c09dfd1e-73dd-467e-819a-f3ecb74ada72_gdc_realn_rehead,49301886,997375,353782,988800
c0c2b41b-a1ab-4807-8884-031bcf0f2d78_gdc_realn_rehead,94725793,1475552,736664,1715600
c0ea0338-0bfb-4efa-a782-1c8b64b497b9_gdc_realn_rehead,83528249,551365,579799,1589503
c1c5ced4-6edd-49fb-aa3e-39fb4fcb160a_gdc_realn_rehead,88454968,401128,518313,1276833
c2555505-efaf-47e8-aa78-7a66231fe7d3_gdc_realn_rehead,102119575,854311,662226,2199610
c292261b-d8e9-4245-936a-884d0c5f2544_gdc_realn_rehead,98861500,682186,836201,2092084
c3210016-4c75-4266-89df-ff09a7cc0f81_gdc_realn_rehead,105189505,42611169,572548,929954
c3eb5df6-2a9d-4a29-b59e-f61957650342_gdc_realn_rehead,38722424,219737,419431,617749
c4136b84-6002-46f2-ad53-6357680c46c4_gdc_realn_rehead,34211567,125580,203906,779016
c4ad66f0-aeaa-4403-83f2-9de01fbdf121_gdc_realn_rehead,61293499,452268,467335,1417365
c53a091b-d7e6-4dbb-9fb1-b79798e3be40_gdc_realn_rehead,61919933,461606,550823,1069100
c60209c8-100c-49b0-b218-b587d8c160d4_gdc_realn_rehead,51624093,286369,305656,993048
c6173474-4555-47b3-8e79-08b77529d305_gdc_realn_rehead,49634007,340874,555892,1388956
c62f1332-cebf-46a8-a448-a5b8e9882076_gdc_realn_rehead,64277900,293282,559046,1874788
c647c365-4730-45de-8fec-2e4b4210a25a_gdc_realn_rehead,55888061,333183,426343,753223
c662eb1e-d0f9-4e36-b07a-1464ba06ff99_gdc_realn_rehead,78441934,2587360,872338,1821559
c6ce140f-895e-4384-8a91-d359f192b805_gdc_realn_rehead,56159806,160186,318288,887749
c6edc4ab-9844-45e2-8f04-e66c7280329b_gdc_realn_rehead,37613146,188762,317975,994785
c6fef9a2-3a47-4e2f-abf8-47a8eabaed17_gdc_realn_rehead,119151862,631451,791089,2614586
c704a41c-b658-40bd-82ee-f417a8860d4a_gdc_realn_rehead,36792044,134117,319279,1111292
c724c63a-bd1c-4c3a-bb6e-a45851bc1cff_gdc_realn_rehead,41702942,217588,432918,909301
c739403e-b979-448f-87d5-eaef6b7cc829_gdc_realn_rehead,102037172,1412123,744724,1592295
c79b1fee-717f-4bda-a7ce-79fa09f704e3_gdc_realn_rehead,39628918,123351,257701,960379
c7db9199-aa72-49b6-824a-4513d49bf40b_gdc_realn_rehead,43298260,229384,486266,980073
c8a86902-3b21-4dd8-afca-231838fafbcb_gdc_realn_rehead,38275734,173336,498665,1066171
c9ac23a7-7132-4a77-b0b4-02421392b007_gdc_realn_rehead,122799382,1146385,756423,2348759
ca97ca14-28e1-45d3-b1b4-3976528c87d3_gdc_realn_rehead,95379747,288974,845880,2333485
cbabb77b-4b76-470f-9954-93cad1dcc648_gdc_realn_rehead,82063790,1887521,965028,1785960
cbde09af-ba6c-4271-ad17-cd8eba0953da_gdc_realn_rehead,34472891,103492,330666,805732
cbff9d45-b584-436a-8eb5-105282b7e108_gdc_realn_rehead,40199336,183126,293144,810933
cc3ad632-c9d1-4d39-a88e-d96e16546502_gdc_realn_rehead,36229291,166834,221244,533736
cc9f53c7-cccd-4b31-8c6e-703f38f52793_gdc_realn_rehead,70081078,894643,894011,1633161
ccbc3839-3872-4593-8470-0d2fafef8b43_gdc_realn_rehead,108059455,1861680,829018,2232256
ce808b0c-3489-40a1-bd93-6560a86eadf9_gdc_realn_rehead,90509352,951496,580424,1557316
cf295bbd-412b-4069-8b65-5e2aeafa5860_gdc_realn_rehead,58410270,328233,368742,764003
cf848204-ab90-43d5-b51a-636e2ea53251_gdc_realn_rehead,65034130,379943,586134,1925708
cfa6da64-1aaf-4768-b0e2-441f107b20b5_gdc_realn_rehead,29769702,42267,203606,628250
cfb9de97-4c33-4dc1-a215-eada38f46002_gdc_realn_rehead,36907708,84270,195212,713329
d036c11a-07b9-4ce3-b864-e6162006b99f_gdc_realn_rehead,79044745,865354,548626,1513881
d04d83a4-fbe1-4b6a-a48d-2950394a67bb_gdc_realn_rehead,65535022,3314872,482691,1319982
d0979620-999f-44c7-9e8b-44548f7927ef_gdc_realn_rehead,36363025,49837,188489,817227
d0a10942-3ebe-4702-8a98-49be26383c1d_gdc_realn_rehead,44692752,1539617,352022,703551
d183f094-597f-496e-abf4-8f77f0a66803_gdc_realn_rehead,109908841,1841888,962287,2264837
d1ca3c75-618e-4bb8-ba23-d6fb5c6ed498_gdc_realn_rehead,103280852,1302562,874782,2159931
d200955d-d630-4f29-9751-49b426799910_gdc_realn_rehead,56876898,179095,302207,649063
d21f8c84-d0e2-421e-bcb8-5235fc94e8b0_gdc_realn_rehead,56443485,340731,538389,1462641
d3122e5e-854d-42be-a486-35f34cf21375_gdc_realn_rehead,97291500,3830210,729088,2184084
d31d667b-4a5a-4e59-87fb-cc7503d52fd1_gdc_realn_rehead,24146547,127213,180861,970069
d3467666-fc2e-41f7-95d2-215c7e36c715_gdc_realn_rehead,52014624,155727,495757,1173588
d36f19ee-d391-42b2-a07e-c5cdd8ff825a_gdc_realn_rehead,54755286,686582,1173494,1252418
d3ff4a36-36de-43c1-a69b-0f28349ffedd_gdc_realn_rehead,42295529,270950,377314,895421
d42a6fe0-8988-43ec-93fb-eec85f3dfd62_gdc_realn_rehead,123509535,2175571,4216533,117495
d4da4d75-2b9d-4452-a759-fc1b95424d1a_gdc_realn_rehead,48310090,879093,448817,3403542
d58dcefa-3885-4908-a31d-f3ec29731b89_gdc_realn_rehead,48857055,1554276,256807,603451
d695f549-ae64-4250-bc73-0797ae12dbb9_gdc_realn_rehead,55945117,350360,407888,1048596
d6fd59c2-67e4-4210-b767-49a70081e088_gdc_realn_rehead,92674931,398377,867437,1351303
d7e713bb-dfc3-44d4-bef8-0cea378021f3_gdc_realn_rehead,103185050,936980,545310,1685268
d8183508-e323-4a1f-ac65-4b89c848247f_gdc_realn_rehead,32741904,251485,309417,801049
d8a50613-18b9-4b66-bbb2-2e602181e159_gdc_realn_rehead,46058581,465370,487180,1040592
d8bf6c8b-b1ef-4bd2-80dd-4942a92004ff_gdc_realn_rehead,98132112,1074054,632689,1545012
d908f378-a7f0-4f06-8e44-1da223489b11_gdc_realn_rehead,56143916,293048,734249,1427176
d9108047-f316-4592-ae17-21e3f814f430_gdc_realn_rehead,49842842,222872,323629,934848
db070141-5d9d-448c-9f97-a0737762c9c2_gdc_realn_rehead,35468315,88874,216083,777338
db5ec268-8a17-42af-98c9-b9101ba35b4e_gdc_realn_rehead,66973721,390865,567146,1675923
dbfa3bd7-1875-4d2f-9ff2-3c44e7f00a63_gdc_realn_rehead,47564224,302254,313312,758849
dc959928-cf3f-4086-b677-6781aabcd9cf_gdc_realn_rehead,57627892,333989,273236,740725
dd5bc467-74b5-4e1f-95f5-0a7ce776d5d8_gdc_realn_rehead,63811479,354089,432050,1309167
ddd400df-3376-447a-859b-7415a679eb46_gdc_realn_rehead,29769681,177942,226108,464736
de162e91-f450-4632-8779-d24839cd7769_gdc_realn_rehead,32142591,146559,318832,844131
de1a0b2a-4889-4f85-97de-f76b326810be_gdc_realn_rehead,37356022,81196,293957,671577
de224e71-2a83-4a83-b224-5d2f5e2634d6_gdc_realn_rehead,120012510,1646360,1384964,3188427
de3be65f-e5f2-4cd1-8617-c8ca750d26c6_gdc_realn_rehead,76448141,226685,562833,2476487
df2b8be0-d350-4040-b7e0-3010af884088_gdc_realn_rehead,91718468,587574,598428,1686232
df3bbe0f-5c32-4a81-9826-95ddf6c023d9_gdc_realn_rehead,87451727,1398383,524531,1532205
df834a10-2831-4dc4-b627-393d25f3b802_gdc_realn_rehead,64529692,2025561,677908,1292928
df879d51-77e7-4e0e-a971-fee30a730693_gdc_realn_rehead,62323977,597384,410962,1243268
e0b53534-5cb2-47aa-9307-038b5774047f_gdc_realn_rehead,84248231,283214,708411,1253747
e1401cdb-f005-41c9-b6bc-4d0f16b9fe0a_gdc_realn_rehead,67837670,675215,439077,1220516
e2719657-ea1e-4320-8ddf-71d6d38edc59_gdc_realn_rehead,85855440,896969,819284,2039255
e3a8f442-5157-4153-8ca1-9dfb11b8992c_gdc_realn_rehead,97642435,2644772,965222,1153851
e3c8680d-9811-46f6-ad67-fcbe90a7643c_gdc_realn_rehead,56541442,1229563,540918,1684961
e3d8e66a-e824-4cd9-8286-82ea6e89c61b_gdc_realn_rehead,36590987,253967,327276,818071
e43a9fd6-972b-47a1-9980-3a48d6c319cc_gdc_realn_rehead,40684587,126068,269625,747156
e442424c-d90a-4590-9ec3-ab277915ebe8_gdc_realn_rehead,97149150,1290074,782455,1650358
e4772ebe-e255-414a-9a45-c8cb8da4cf3e_gdc_realn_rehead,79771497,1243820,798107,2097808
e4d6bbe2-27f8-4e94-bc61-d1461699b303_gdc_realn_rehead,30741428,196091,299707,754117
e517a5a8-7e15-4a0d-a9ad-8043e9e219ed_gdc_realn_rehead,91146464,346892,668236,1565082
e5202865-61df-41d8-8b86-214f9c31dee9_gdc_realn_rehead,100215909,366980,1010693,5756739
e520ef9a-1809-4173-8ecb-5d27ce34e289_gdc_realn_rehead,80525468,1416487,498940,1145207
e5a46b37-23a4-4314-bf69-0bc355587db8_gdc_realn_rehead,39740653,101529,380198,1133448
e61b8a2e-0004-4dec-ac69-8a6f1bd91267_gdc_realn_rehead,42324548,167671,348762,1191954
e6546ed1-a2ce-4e0d-bc91-4d8eafafd320_gdc_realn_rehead,66498922,316569,708984,1239970
e66bf758-e262-41f7-8493-7b0e1816fd7d_gdc_realn_rehead,98496064,15630640,488025,1373580
e766131f-2121-476e-bf3a-d672727305d8_gdc_realn_rehead,30945976,426230,475024,1033844
e7a13a3e-e7d4-460b-a3ed-3743c53539e8_gdc_realn_rehead,58395960,550130,530728,1238591
e83ffc55-add9-4950-9bc4-d6b096b41b85_gdc_realn_rehead,79640305,741545,433915,1947657
e8a61b15-385b-4315-8186-d5861329d1af_gdc_realn_rehead,34558178,95035,276712,768566
e958ee07-138e-4a6d-a636-162fb43415f7_gdc_realn_rehead,59976607,322524,474359,2333805
e97040ce-2652-417b-986c-d7955b149486_gdc_realn_rehead,114623355,2151763,916442,2552087
eb1730cb-d70f-42c0-baff-9c184624fafe_gdc_realn_rehead,36817974,159033,251649,660271
ebc14cb5-9fc1-4e53-9bcd-12f7cd8abd5b_gdc_realn_rehead,120213489,1825793,916314,2316727
ebc9000d-cd65-4bef-9970-05ac2765c635_gdc_realn_rehead,95098694,14556325,730489,1448716
ebf6d5b9-6359-46d9-9e73-066a15b5f903_gdc_realn_rehead,86699249,441151,507044,1551850
