Sample ID,chain_type,rna_count
TCGA-78-7542-01A,TRD,1
TCGA-78-7542-01A,TRG,0
TCGA-49-AAR9-01A,IGH,4
TCGA-49-AAR9-01A,IGL,26
TCGA-49-AAR9-01A,IGK,64
TCGA-49-AAR9-01A,TRA,19
TCGA-49-AAR9-01A,TRB,0
TCGA-49-AAR9-01A,TRD,1
TCGA-49-AAR9-01A,TRG,0
TCGA-L9-A5IP-01A,IGH,105
TCGA-L9-A5IP-01A,IGL,222
TCGA-L9-A5IP-01A,IGK,677
TCGA-L9-A5IP-01A,TRA,158
TCGA-L9-A5IP-01A,TRB,1
TCGA-L9-A5IP-01A,TRD,6
TCGA-L9-A5IP-01A,TRG,0
TCGA-44-7661-01A,IGH,12
TCGA-44-7661-01A,IGL,85
TCGA-44-7661-01A,IGK,250
TCGA-44-7661-01A,TRA,74
TCGA-44-7661-01A,TRB,3
TCGA-44-7661-01A,TRD,4
TCGA-44-7661-01A,TRG,1
TCGA-50-5044-01A,IGH,57
TCGA-50-5044-01A,IGL,439
TCGA-50-5044-01A,IGK,870
TCGA-50-5044-01A,TRA,201
TCGA-50-5044-01A,TRB,0
TCGA-50-5044-01A,TRD,11
TCGA-50-5044-01A,TRG,0
TCGA-78-7162-01A,IGH,84
TCGA-78-7162-01A,IGL,402
TCGA-78-7162-01A,IGK,1139
TCGA-78-7162-01A,TRA,303
TCGA-78-7162-01A,TRB,8
TCGA-78-7162-01A,TRD,7
TCGA-78-7162-01A,TRG,0
TCGA-50-5049-01A,IGH,126
TCGA-50-5049-01A,IGL,591
TCGA-50-5049-01A,IGK,2010
TCGA-50-5049-01A,TRA,490
TCGA-50-5049-01A,TRB,19
TCGA-50-5049-01A,TRD,9
TCGA-50-5049-01A,TRG,1
TCGA-S2-AA1A-01A,IGH,313
TCGA-S2-AA1A-01A,IGL,1255
TCGA-S2-AA1A-01A,IGK,3899
TCGA-S2-AA1A-01A,TRA,938
TCGA-S2-AA1A-01A,TRB,15
TCGA-S2-AA1A-01A,TRD,35
TCGA-S2-AA1A-01A,TRG,0
TCGA-97-A4M2-01A,IGH,82
TCGA-97-A4M2-01A,IGL,429
TCGA-97-A4M2-01A,IGK,1213
TCGA-97-A4M2-01A,TRA,273
TCGA-97-A4M2-01A,TRB,2
TCGA-97-A4M2-01A,TRD,7
TCGA-97-A4M2-01A,TRG,2
TCGA-55-6983-01A,IGH,108
TCGA-55-6983-01A,IGL,433
TCGA-55-6983-01A,IGK,1134
TCGA-55-6983-01A,TRA,242
TCGA-55-6983-01A,TRB,11
TCGA-55-6983-01A,TRD,8
TCGA-55-6983-01A,TRG,0
TCGA-J2-A4AD-01A,IGH,31
TCGA-J2-A4AD-01A,IGL,130
TCGA-J2-A4AD-01A,IGK,343
TCGA-J2-A4AD-01A,TRA,82
TCGA-J2-A4AD-01A,TRB,2
TCGA-J2-A4AD-01A,TRD,2
TCGA-J2-A4AD-01A,TRG,0
TCGA-86-7953-01A,IGH,31
TCGA-86-7953-01A,IGL,159
TCGA-86-7953-01A,IGK,393
TCGA-86-7953-01A,TRA,97
TCGA-86-7953-01A,TRB,9
TCGA-86-7953-01A,TRD,3
TCGA-86-7953-01A,TRG,0
TCGA-MP-A4TJ-01A,IGH,144
TCGA-MP-A4TJ-01A,IGL,634
TCGA-MP-A4TJ-01A,IGK,1756
